Circuit	Counties	Median	Average	Cases
1	Escambia	17,814.57	46,259.77	94
1	Okaloosa	17,814.57	46,259.77	94
1	Santa Rosa	17,814.57	46,259.77	94
1	Walton	17,814.57	46,259.77	94
2	Franklin	31,728.00	36,033.15	83
2	Gadsden	31,728.00	36,033.15	83
2	Jefferson	31,728.00	36,033.15	83
2	Leon	31,728.00	36,033.15	83
2	Liberty	31,728.00	36,033.15	83
2	Wakulla	31,728.00	36,033.15	83
3	Columbia	30,125.00	29,881.24	38
3	Dixie	30,125.00	29,881.24	38
3	Hamilton	30,125.00	29,881.24	38
3	Lafayette	30,125.00	29,881.24	38
3	Madison	30,125.00	29,881.24	38
3	Suwannee	30,125.00	29,881.24	38
3	Taylor	30,125.00	29,881.24	38
4	Clay	29,034.40	52,171.01	189
4	Duval	29,034.40	52,171.01	189
4	Nassau	29,034.40	52,171.01	189
5	Citrus	36,184.57	82,513.37	67
5	Hernando	36,184.57	82,513.37	67
5	Lake	36,184.57	82,513.37	67
5	Marion	36,184.57	82,513.37	67
5	Sumter	36,184.57	82,513.37	67
6	Pasco	19,709.42	43,345.13	153
6	Pinellas	19,709.42	43,345.13	153
7	Flagler	29,965.01	58,879.08	116
7	Putnam	29,965.01	58,879.08	116
7	St. Johns	29,965.01	58,879.08	116
7	Volusia	29,965.01	58,879.08	116
8	Alachua	39,666.83	68,793.51	37
8	Baker	39,666.83	68,793.51	37
8	Bradford	39,666.83	68,793.51	37
8	Gilchrist	39,666.83	68,793.51	37
8	Levy	39,666.83	68,793.51	37
8	Union	39,666.83	68,793.51	37
9	Orange	15,330.65	28,597.74	139
9	Osceola	15,330.65	28,597.74	139
10	Hardee	24,826.38	40,476.05	122
10	Highlands	24,826.38	40,476.05	122
10	Polk	24,826.38	40,476.05	122
11	Miami-Dade	54,977.60	142,211.10	352
12	DeSoto	19,364.38	30,355.25	25
12	Manatee	19,364.38	30,355.25	25
12	Sarasota	19,364.38	30,355.25	25
13	Hillsborough	19,196.26	32,178.58	71
14	Bay	15,174.00	21,690.50	17
14	Calhoun	15,174.00	21,690.50	17
14	Gulf	15,174.00	21,690.50	17
14	Holmes	15,174.00	21,690.50	17
14	Jackson	15,174.00	21,690.50	17
14	Washington	15,174.00	21,690.50	17
15	Palm Beach	27,473.25	52,866.85	114
16	Monroe	19,102.40	19,102.40	1
17	Broward	37,006.30	62,408.92	221
18	Brevard	20,791.00	39,062.41	57
18	Seminole	20,791.00	39,062.41	57
19	Indian River	34,471.46	63,150.55	51
19	Martin	34,471.46	63,150.55	51
19	Okeechobee	34,471.46	63,150.55	51
19	St. Lucie	34,471.46	63,150.55	51
20	Charlotte	28,613.15	114,727.37	40
20	Collier	28,613.15	114,727.37	40
20	Glades	28,613.15	114,727.37	40
20	Hendry	28,613.15	114,727.37	40
20	Lee	28,613.15	114,727.37	40
